 ! Swift/XRT lightcurve of trigger: 1088940, name: GRB 211211A
 ! T0 for this burst is Swift MET=660921027.84 s, = 2021 Dec 11 at 13:09:59.602 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source count-rate, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/01088940
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
69.9354154796797	0.34341244276753	-0.588857521656578	1541.72065479752	151.112773595596	-150.819099574419
70.743655984768	0.527916025852093	-0.464828062320805	1292.05340558684	128.011499809409	-128.1080198557
71.6253774160718	0.436114566968115	-0.353805405451681	1706.33180203183	169.281456714686	-169.188686875004
72.5920091395546	0.65090483864816	-0.530517156514748	1132.82557416366	112.469209906332	-112.299381238582
73.7536890415696	0.444611932902419	-0.510775063366779	1410.09121461855	140.128037793808	-139.953934457092
74.7805338066285	0.535045147694348	-0.58223283215645	1253.17370900568	131.07077977962	-126.270620656609
75.7473062092377	0.493400728178358	-0.431727254914946	965.124270713958	121.027707479239	-143.785480763273
76.7948253658729	0.607625570070681	-0.554118428456817	1132.6551819229	116.221907544949	-167.794790544785
78.1277127762358	0.627744148202709	-0.725261840292191	1284.20293389304	111.805355693309	-174.029953938066
! WT data
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
83.3331	0.4039	-0.3594	1.277345e+03	1.432190e+02	-1.368560e+02
84.1455	0.4508	-0.4085	1.139987e+03	1.234117e+02	-1.216068e+02
84.9587	0.3475	-0.3624	8.953705e+02	1.236441e+02	-1.205045e+02
85.6713	0.3484	-0.3651	1.405895e+03	1.492013e+02	-1.456893e+02
86.3845	0.3379	-0.3648	9.311258e+02	1.213057e+02	-1.208316e+02
87.2019	0.4812	-0.4795	1.014773e+03	1.096041e+02	-1.088381e+02
88.0310	0.3780	-0.3479	9.208007e+02	1.172286e+02	-1.164171e+02
88.8428	0.3188	-0.4338	8.570246e+02	1.145538e+02	-1.131001e+02
89.5292	0.4347	-0.3676	8.096544e+02	1.097265e+02	-1.059166e+02
90.3106	0.3917	-0.3466	8.862344e+02	1.193765e+02	-1.149301e+02
91.1075	0.4275	-0.4052	7.914967e+02	1.030034e+02	-1.017700e+02
91.9197	0.4123	-0.3847	8.209547e+02	1.072747e+02	-1.064732e+02
92.7501	0.3699	-0.4181	8.303618e+02	1.086723e+02	-1.076997e+02
