 ! Swift/XRT lightcurve of trigger: 1088940, name: GRB 211211A
 ! T0 for this burst is Swift MET=660921027.84 s, = 2021 Dec 11 at 13:09:59.602 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/01088940
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
69.9354154796797	0.34341244276753	-0.588857521656578	6.72190205491719e-08	6.55990470574658e-09	-6.55990470574658e-09
70.743655984768	0.527916025852093	-0.464828062320805	5.63335284835862e-08	5.57785048152297e-09	-5.57785048152297e-09
71.6253774160718	0.436114566968115	-0.353805405451681	7.43960665685878e-08	7.3663082520016e-09	-7.36630825200164e-09
72.5920091395546	0.65090483864816	-0.530517156514748	4.93911950335356e-08	4.8904570407137e-09	-4.8904570407137e-09
73.7536890415696	0.444611932902419	-0.510775063366779	6.14799769573688e-08	6.08742481266012e-09	-6.08742481266016e-09
74.7805338066285	0.535045147694348	-0.58223283215645	5.46383737126476e-08	5.41000514838194e-09	-5.41000514838198e-09
75.7473062092377	0.493400728178358	-0.431727254914946	4.20794182031286e-08	5.1028789975305e-09	-5.1028789975305e-09
76.7948253658729	0.607625570070681	-0.554118428456817	4.93837659318384e-08	4.88972145003456e-09	-4.88972145003451e-09
78.1277127762358	0.627744148202709	-0.725261840292191	5.59912479177365e-08	4.69868114803335e-09	-4.6986811480333e-09
! WT data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
83.3331	0.4039	-0.3594	5.5692242e-08	5.96628767793952e-09	-5.96628988048055e-09
84.1455	0.4508	-0.4085	4.97034332e-08	5.29391855802603e-09	-5.29391581389714e-09
84.9587	0.3475	-0.3624	3.90381538e-08	5.24351262269469e-09	-5.24351469987769e-09
85.6713	0.3484	-0.3651	6.1297022e-08	6.3440746096238e-09	-6.34406656918748e-09
86.3845	0.3379	-0.3648	4.059708488e-08	5.26474964693266e-09	-5.26474961708244e-09
87.2019	0.4812	-0.4795	4.42441028e-08	4.73985723524238e-09	-4.73985685343784e-09
88.0310	0.3780	-0.3479	4.014691052e-08	5.07354269502926e-09	-5.07353922886658e-09
88.8428	0.3188	-0.4338	3.736627256e-08	4.93112023434689e-09	-4.93112444180632e-09
89.5292	0.4347	-0.3676	3.530093184e-08	4.61796149658949e-09	-4.61796130099462e-09
90.3106	0.3917	-0.3466	3.863981984e-08	5.01092706675828e-09	-5.01092429916491e-09
91.1075	0.4275	-0.4052	3.450925612e-08	4.43667444030932e-09	-4.43667314605745e-09
91.9197	0.4123	-0.3847	3.579362492e-08	4.6418232796326e-09	-4.64182184044355e-09
92.7501	0.3699	-0.4181	3.620377448e-08	4.69501305601965e-09	-4.69501220289587e-09
93.5237	0.3881	-0.4036	3.62752436e-08	4.70428121598445e-09	-4.70428019141929e-09
94.3015	0.3468	-0.3897	3.88964974e-08	5.08832291287239e-09	-5.08832485320946e-09
95.0578	0.3128	-0.4095	3.90909534e-08	5.20433351537094e-09	-5.20433317489689e-09
95.7838	0.3234	-0.4132	3.917698928e-08	5.08058309028758e-09	-5.08058715776241e-09
96.5368	0.4119	-0.4296	3.281723168e-08	4.48733562164205e-09	-4.48733177414091e-09
97.3597	0.5213	-0.4110	3.09528172e-08	4.01404951270943e-09	-4.01405277590106e-09
98.2889	0.4230	-0.4079	3.52281242e-08	4.49024704434349e-09	-4.49024807337521e-09
99.226	0.555	-0.515	2.718036644e-08	3.49443369568273e-09	-3.49443588856917e-09
100.2755	0.4913	-0.4944	2.843825696e-08	3.81976050919073e-09	-3.81975853549795e-09
101.1374	0.4495	-0.3707	3.593781884e-08	4.54162008828349e-09	-4.54162017102361e-09
102.207	0.677	-0.620	2.192987568e-08	2.89402602340872e-09	-2.89402479115927e-09
103.3540	0.4409	-0.4700	3.235912648e-08	4.08936466841657e-09	-4.08936450973787e-09
104.2343	0.4145	-0.4395	3.468055616e-08	4.45869656759497e-09	-4.45869776990788e-09
105.1017	0.4847	-0.4529	3.084940672e-08	4.14361994778337e-09	-4.1436189353576e-09
106.096	0.493	-0.510	2.94629834e-08	3.85425672588146e-09	-3.85425929701087e-09
107.236	0.606	-0.646	2.309313676e-08	3.10181187592541e-09	-3.10181474899498e-09
108.2636	0.4239	-0.4212	3.346872032e-08	4.61780223347569e-09	-4.61780760764779e-09
109.2173	0.4184	-0.5299	3.050272568e-08	4.09704418216092e-09	-4.09705619363809e-09
110.0628	0.4483	-0.4271	3.353112064e-08	4.42501230489527e-09	-4.42501201034832e-09
111.225	0.693	-0.714	2.146219592e-08	2.73561926474998e-09	-2.7356102813215e-09
112.582	0.521	-0.664	2.495063628e-08	3.26397062149104e-09	-3.26396049507045e-09
113.626	0.632	-0.523	2.615809904e-08	3.33415619806526e-09	-3.33415968117422e-09
114.790	0.524	-0.533	2.758084116e-08	3.48551539530835e-09	-3.48552031981655e-09
116.032	0.669	-0.717	1.91276252e-08	2.54653951997277e-09	-2.54654649680164e-09
117.338	0.596	-0.637	2.197327512e-08	2.84956231473369e-09	-2.84954790650084e-09
118.505	0.514	-0.571	2.535398424e-08	3.26080345867042e-09	-3.2608112832901e-09
119.484	0.556	-0.465	2.728869064e-08	3.41932568207758e-09	-3.41929574086312e-09
120.632	0.524	-0.592	2.498188004e-08	3.13026790702157e-09	-3.13027661275947e-09
121.829	0.625	-0.674	2.085955236e-08	2.7051227419042e-09	-2.70512991195578e-09
123.095	0.736	-0.641	1.96736716e-08	2.55134356559759e-09	-2.55134970722831e-09
124.2849	0.4611	-0.4534	3.026135172e-08	3.82427064260049e-09	-3.82426421717201e-09
